Title,Name,OrderIndex,DataType,Address,Length
IO_11,ForkNumber_FromSTK,15,Bit,D8079.F,1
IO_12,L_REQ,0,Bit,D8239.0,1
IO_12,U_REQ,1,Bit,D8239.1,1
IO_12,Ready,2,Bit,D8239.2,1
IO_12,CARRIER,3,Bit,D8239.3,1
IO_12,P.Error,4,Bit,D8239.4,1
IO_12,Spare,5,Bit,D8239.5,1
IO_12,P.Online,6,Bit,D8239.6,1
IO_12,P.E-STOP,7,Bit,D8239.7,1
IO_12,Transferring_FromSTK,8,Bit,D8239.8,1
IO_12,TR_REQ_FromSTK,9,Bit,D8239.9,1
IO_12,BUSY_FromSTK,10,Bit,D8239.A,1
IO_12,COMPLETE_FromSTK,11,Bit,D8239.B,1
IO_12,CRANE_1_FromSTK,12,Bit,D8239.C,1
IO_12,CRANE_2_FromSTK,13,Bit,D8239.D,1
IO_12,A.Error_FromSTK,14,Bit,D8239.E,1
IO_12,ForkNumber_FromSTK,15,Bit,D8239.F,1
IO_13,L_REQ,0,Bit,D8399.0,1
IO_13,U_REQ,1,Bit,D8399.1,1
IO_13,Ready,2,Bit,D8399.2,1
IO_13,CARRIER,3,Bit,D8399.3,1
IO_13,P.Error,4,Bit,D8399.4,1
IO_13,Spare,5,Bit,D8399.5,1
IO_13,P.Online,6,Bit,D8399.6,1
IO_13,P.E-STOP,7,Bit,D8399.7,1
IO_13,Transferring_FromSTK,8,Bit,D8399.8,1
IO_13,TR_REQ_FromSTK,9,Bit,D8399.9,1
IO_13,BUSY_FromSTK,10,Bit,D8399.A,1
IO_13,COMPLETE_FromSTK,11,Bit,D8399.B,1
IO_13,CRANE_1_FromSTK,12,Bit,D8399.C,1
IO_13,CRANE_2_FromSTK,13,Bit,D8399.D,1
IO_13,A.Error_FromSTK,14,Bit,D8399.E,1
IO_13,ForkNumber_FromSTK,15,Bit,D8399.F,1
IO_14,L_REQ,0,Bit,D8559.0,1
IO_14,U_REQ,1,Bit,D8559.1,1
IO_14,Ready,2,Bit,D8559.2,1
IO_14,CARRIER,3,Bit,D8559.3,1
IO_14,P.Error,4,Bit,D8559.4,1
IO_14,Spare,5,Bit,D8559.5,1
IO_14,P.Online,6,Bit,D8559.6,1
IO_14,P.E-STOP,7,Bit,D8559.7,1
IO_14,Transferring_FromSTK,8,Bit,D8559.8,1
IO_14,TR_REQ_FromSTK,9,Bit,D8559.9,1
IO_14,BUSY_FromSTK,10,Bit,D8559.A,1
IO_14,COMPLETE_FromSTK,11,Bit,D8559.B,1
IO_14,CRANE_1_FromSTK,12,Bit,D8559.C,1
IO_14,CRANE_2_FromSTK,13,Bit,D8559.D,1
IO_14,A.Error_FromSTK,14,Bit,D8559.E,1
IO_14,ForkNumber_FromSTK,15,Bit,D8559.F,1
IO_15,L_REQ,0,Bit,D8719.0,1
